ranking,book_name,score,score_num,info
152,夏洛的网,8.6,37136,[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元
153,长恨歌,8.2,39324,王安忆 / 南海出版公司 / 2003-8 / 22.00元
154,我的天才女友,8.5,37221,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元
155,东霓,8.1,39857,笛安 / 长江文艺出版社 / 2010-7-1 / 26.80元
156,你好，旧时光（上 下）,8.7,35330,八月长安 / 新世界出版社 / 2009-12 / 39.80元
157,红与黑,8.2,38295,[法] 司汤达 / 张冠尧 / 人民文学出版社 / 2002 / 20.00元
158,你一定爱读的极简欧洲史,8.2,38428,约翰·赫斯特（John Hirst） / 席玉苹 / 广西师范大学出版社 / 2011-11-25 / 25.00元
159,时间旅行者的妻子,8.1,38841,[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元
160,失恋33天,8.1,38423,鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元
161,中国历代政治得失,9.2,32835,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元
162,人生,8.4,35505,路遥 / 北京十月文艺出版社 / 2009-5 / 20.00元
163,陆犯焉识,8.8,34018,严歌苓 / 作家出版社 / 2011-10 / 35.00元
164,历史深处的忧虑,9,32498,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元
165,一九八四·动物农场,9.3,31233,[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元
166,自控力,8.3,35382,[美]  凯利·麦格尼格尔 / 王岑卉 / 文化发展出版社(原印刷工业出版社) / 2012-8 / 39.80元
167,匆匆那年（上下）,8.2,35299,九夜茴 / 东方出版社 / 2008-1 / 29.00
168,影响力,8.6,33061,[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元
169,变形记,8.4,33578,[奥] 卡夫卡 / 叶廷芳 / 浙江文艺出版社 / 2003-4 / 16.00元
170,大地之灯,8.2,35014,七堇年 / 长江文艺出版社 / 2007-1 / 22.00元
171,橙,8.2,34579,安东尼 / 长江文艺出版社 / 2010-10 / 28.80元
172,那些年，我们一起追的女孩,8.2,34673,九把刀 / 花山文艺出版社 / 2007-1 / 20.00元
173,冰与火之歌（卷一）,9.3,29612,[美] 乔治·R. R. 马丁 / 谭光磊 / 重庆出版社 / 2005-5 / 68.00元
174,香水,8.5,32672,[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元
175,世界尽头与冷酷仙境,8.6,32671,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元
176,人性的弱点全集,8.2,32999,[美] 戴尔·卡耐基 / 袁玲 / 中国发展出版社 / 2008-1 / 25.00元
177,江城,9,30079,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元
178,罗生门,8.7,31550,[日]芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元
179,看不见的城市,8.8,30906,[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元
180,父与子全集,9.2,28858,[德] 埃·奥·卜劳恩 绘 / 杨莹 / 中国工人出版社 / 2003-4 / 20.00元
181,把时间当作朋友,8.4,32059,李笑来 / 电子工业出版社 / 2009-6 / 32.00元
182,阿狸·梦之城堡,9,29832,hans / 上海锦绣文章出版社 / 2009-1 / 36.80元
183,项链,8.4,31686,[法] 莫泊桑 / 顾加琛 等 / 河北教育出版社 / 2005-2 / 28.00元
184,一千零一夜,8.6,30670,纳训 / 人民文学出版社 / 2003-01 / 22.0
185,未来简史,8.4,31327,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2 / 68.00元
186,天使与魔鬼,8.2,32182,[美] 丹.布朗 / 朱振武 / 人民文学出版社 / 2005-2 / 29.80元
187,七夜雪,8.4,30327,沧月 / 北京十月文艺出版社 / 2006-10 / 25.00元
188,ZOO,8.6,29805,[日] 乙一 / 李颖秋 / 当代世界出版社 / 2007-10 / 20.00元
189,人间词话,9,28246,王国维 / 上海古籍出版社 / 1998-12-01 / 9.80元
190,一句顶一万句,8.7,29164,刘震云 / 长江文艺出版社 / 2009-3 / 29.80
191,国境以南 太阳以西,8.3,30893,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 13.50元
192,新名字的故事,9,27653,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元
193,雨季不再来,8.7,28645,三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元
194,文学回忆录（全2册）,9.2,27008,木心 讲述 / 广西师范大学出版社 / 2013-1-10 / 98.00元
195,往事并不如烟,8.6,28692,章诒和 / 人民文学出版社 / 2004-1 / 35.00元
196,没有色彩的多崎作和他的巡礼之年,8.2,30036,[日] 村上春树 / 施小炜 / 南海出版公司 / 2013-10-1 / 39.50元
197,尼罗河上的惨案,8.7,28519,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元
198,京华烟云,8.5,29157,林语堂 / 张振玉 / 陕西师范大学出版社 / 2005-7 / 43.00元
199,面纱,8.7,28276,(英)W.萨默塞特·毛姆 / 阮景林 / 重庆 / 2012-05-01 / 32.00元
200,蔷薇岛屿,8,30654,安妮宝贝 / 作家出版社 / 2002-8 / 18.00元
201,第一炉香,8.4,28824,张爱玲 / 花城出版社 / 1997-3 / 11.5
202,最初的爱情 最后的仪式,8,29779,[英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元
203,长安十二时辰 上,8.4,28741,马伯庸 / 湖南文艺出版社 / 2017-1-1 / CNY 79.60
204,生活在别处,8.4,27757,[捷克] 米兰·昆德拉 / 袁筱一 / 上海译文出版社 / 2004-5 / 25.00元
205,激荡三十年（上）,8.8,26049,吴晓波 / 中信出版社 浙江人民出版社 / 2007-1 / 35.00
206,芳华,8.1,28340,严歌苓 / 人民文学出版社 / 2017-4-1 / 39.00元
207,海子的诗,8.9,25639,海子 / 人民文学出版社 / 1999-04 / 15.40
208,哈姆莱特,8.5,26590,[英] 莎士比亚 / 朱生豪 / 人民文学出版社 / 2001-1 / 7.00元
209,我的精神家园,9.1,24860,王小波 / 文化艺术出版社 / 1997 / 18.80元
210,设计中的设计,8.6,26454,[日] 原研哉 / 朱锷 / 山东人民出版社 / 2006-11 / 48.00元
211,万水千山走遍,8.8,25546,三毛 / 哈尔滨出版社 / 2003-08 / 13.80
212,心是孤独的猎手,8.5,26567,[美] 卡森·麦卡勒斯 / 陈笑黎 / 上海三联书店 / 2005-8 / 25.00元
213,教父,9,24775,[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元
214,妻妾成群,8.2,27576,苏童 / 上海文艺出版社 / 2004-8 / 23.00元
215,九州·缥缈录,8.8,25240,江南 / 新世界出版社 / 2005-6 / 20.00元
216,娱乐至死,8.5,26377,[美] 尼尔·波兹曼 / 章艳 / 广西师范大学出版社 / 2011-6 / 29.80元
217,野火集,8.8,25312,龙应台 / 文汇出版社 / 2005-8 / 25.00元
218,我执,8,27845,梁文道 / 广西师范大学出版社 / 2010-10 / 35.00元
219,斯通纳,8.8,24625,[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元
220,雾都孤儿,8.1,26823,[英]狄更斯 / 荣如德 / 上海译文出版社 / 1991-7 / 10.10元
221,台北人,8.9,24252,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元
222,佛祖在一号线,8.2,26692,李海鹏 / 文化艺术出版社 / 2010-6 / 25.00元
223,偷书贼,8,26769,[澳] 马克斯·苏萨克 / 孙张静 / 南海出版公司 / 2007-8 / 25.00元
224,新参者,8.4,25747,[日] 东野圭吾 / 岳远坤 / 南海出版公司 / 2011-9 / 28.00元
225,占星术杀人魔法,8.3,25395,[日] 岛田庄司 / 王鹏帆 / 新星出版社 / 2008-9 / 28.00
226,一个叫欧维的男人决定去死,9,22739,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元
227,舞！舞！舞！,8.3,25195,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-6 / 25.00元
228,浪潮之巅,9.1,22561,吴军 / 电子工业出版社 / 2011-8 / 55.00元
229,子不语1,9,22516,夏达 / 新世纪出版社 / 2009-12 / RMB36.00
230,琅琊榜,8.5,23520,海宴 / 朝华出版社 / 2007-12 / 49.80元
231,动物凶猛,8.3,24853,王朔 / 中国电影出版社 / 2004年02月 / 15.50元
232,爱的艺术,8.8,23038,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元
233,小姨多鹤,8.6,23645,严歌苓 / 作家出版社 / 2008-4 / 28.00元
234,白银时代,8.4,24009,王小波 / 花城出版社 / 1997-5 / 10.00元
235,罗杰疑案,8.9,22204,[英] 阿加莎·克里斯蒂 / 张江云 / 人民文学出版社 / 2006-5 / 21.00元
236,枪炮、病菌与钢铁,8.8,22689,[美] 贾雷德·戴蒙德 / 谢延光 / 上海世纪出版集团 / 2006-4-1 / 45.00元
237,夹边沟记事,9.2,21261,杨显惠 / 花城出版社 / 2008-09 / 34.00元
238,红拂夜奔,8.7,22915,王小波 / 江苏文艺出版社 / 2005-1 / 28.00元
239,告白,8.6,22641,湊佳苗 / 丁世佳 / 時報文化 / 2009-8 / NT$250
240,高效能人士的七个习惯（精华版）,8.2,23856,[美] 史蒂芬·柯维 / 高新勇 / 中国青年出版社 / 2011-6 / 29.00元
241,观念的水位,8.3,23488,刘瑜 / 浙江大学出版社 / 2013-1 / 36.00元
242,巨流河,8.7,21982,齐邦媛 / 生活·读书·新知三联书店 / 2010-10 / 39.00元
243,乡土中国,9.2,20495,费孝通 / 上海人民出版社 / 2006-4 / 38.00
244,云中歌1,8,23617,桐华 / 作家出版社 / 2007-9 / 24.80元
245,中国大历史,8.3,22655,黄仁宇 / 生活·读书·新知三联书店 / 2007-2 / 19.00元
246,寻羊冒险记,8.2,22817,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 18.80元
247,来不及说我爱你,8,22916,匪我思存 / 新世界出版社 / 2006-9 / 20.00元
248,相约星期二,8.4,21698,[美] 米奇·阿尔博姆 / 吴洪 / 上海译文出版社 / 2007-7 / 19.00元
249,邓小平时代,9.1,19613,傅高义 (Ezra.F.Vogel) / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元
250,带一本书去巴黎,8.5,20616,林达 / 生活·读书·新知三联书店 / 2002-5 / 35.00元
